symbol,name,exchange,asset_type,ipo_date,delisting_date,status,source
SPY,SPDR S&P 500 ETF Trust,NYSEARCA,ETF,1993-01-22,,Active,template_alpha_vantage_or_nasdaq_trader_import_required
QQQ,Invesco QQQ Trust,NASDAQ,ETF,1999-03-10,,Active,template_alpha_vantage_or_nasdaq_trader_import_required
AAPL,Apple Inc.,NASDAQ,Stock,1980-12-12,,Active,template_alpha_vantage_or_nasdaq_trader_import_required
MSFT,Microsoft Corp.,NASDAQ,Stock,1986-03-13,,Active,template_alpha_vantage_or_nasdaq_trader_import_required
NVDA,NVIDIA Corp.,NASDAQ,Stock,1999-01-22,,Active,template_alpha_vantage_or_nasdaq_trader_import_required
AMZN,Amazon.com Inc.,NASDAQ,Stock,1997-05-15,,Active,template_alpha_vantage_or_nasdaq_trader_import_required
GOOGL,Alphabet Inc. Class A,NASDAQ,Stock,2004-08-19,,Active,template_alpha_vantage_or_nasdaq_trader_import_required
META,Meta Platforms Inc.,NASDAQ,Stock,2012-05-18,,Active,template_alpha_vantage_or_nasdaq_trader_import_required
TSLA,Tesla Inc.,NASDAQ,Stock,2010-06-29,,Active,template_alpha_vantage_or_nasdaq_trader_import_required
