"inventory_id","alpha_family","candidate_generation_status","allowed_inputs","allowed_operators","disallowed_operators","required_lookback_metadata","required_label_metadata","required_hashes","trial_ledger_link","rejection_or_block_reason","generated_candidate_count","formula_hash","feature_hash","evaluation_performed","training_allowed_now","direct_buy_alpha_allowed","risk_overlay_allowed","candidate_promotion","production_effect","trading_allowed","notes"
"fa_inv_001","price_momentum_family","not_generated","open;high;low;close;returns","delay;delta;rolling_mean;rank;scale;zscore","lead;future_shift;centered_window;full_sample_rank","lookback_window;lookback_min_periods;lookback_unit","label_horizon;label_horizon_days;purge_window_days;embargo_window_days","formula_hash_reserved;feature_hash_reserved","candidate_trial_ledger_required_before_generation","No concrete formula generated in CP-05; requires ledger row and CP-06 bounded sample approval.","0","not_generated","not_generated","False","False","False","False","False","none","False","Inventory category only, not an alpha candidate."
"fa_inv_002","mean_reversion_family","not_generated","open;high;low;close;returns","rolling_mean;rolling_std;zscore;rank;delay;delta","lead;future_shift;centered_window;global_normalization_after_test","lookback_window;lookback_min_periods;lookback_unit","label_horizon;label_horizon_days;purge_window_days;embargo_window_days","formula_hash_reserved;feature_hash_reserved","candidate_trial_ledger_required_before_generation","No evaluation or selection until purged/embargo validation and trial counts exist.","0","not_generated","not_generated","False","False","False","False","False","none","False","Inventory category only."
"fa_inv_003","volatility_regime_family","not_generated","high;low;close;returns;volume","rolling_std;rolling_mean;rank;zscore;scale;delay","future_volatility;centered_rolling_std;target_encoding","lookback_window;lookback_min_periods;lookback_unit","label_horizon;label_horizon_days;purge_window_days;embargo_window_days","formula_hash_reserved;feature_hash_reserved","candidate_trial_ledger_required_before_generation","Risk of regime overfit; keep report-only until validation schema is used.","0","not_generated","not_generated","False","False","False","False","False","none","False","Potential risk-control feature family, not a direct buy alpha."
"fa_inv_004","volume_liquidity_family","not_generated","volume;amount;close;returns","rolling_mean;delta;rank;zscore;scale;delay","future_volume;revision_overwrite;full_sample_zscore","lookback_window;lookback_min_periods;lookback_unit","label_horizon;label_horizon_days;purge_window_days;embargo_window_days","formula_hash_reserved;feature_hash_reserved","candidate_trial_ledger_required_before_generation","Liquidity filters can change universe behavior; require PIT availability audit first.","0","not_generated","not_generated","False","False","False","False","False","none","False","OHLCV-only inventory row."
"fa_inv_005","price_volume_interaction_family","not_generated","close;returns;volume;amount","correlation;covariance;rolling_mean;rolling_std;rank;zscore","future_correlation;centered_covariance;post_test_scaling","lookback_window;lookback_min_periods;lookback_unit","label_horizon;label_horizon_days;purge_window_days;embargo_window_days","formula_hash_reserved;feature_hash_reserved","candidate_trial_ledger_required_before_generation","Correlation/covariance windows require strong missingness and min-period controls.","0","not_generated","not_generated","False","False","False","False","False","none","False","Inventory category only."
"fa_inv_006","trend_quality_family","not_generated","open;high;low;close;returns","decay;rolling_mean;rolling_std;signed_power;rank;scale","future_trend_confirmation;lookahead_extrema;full_period_normalization","lookback_window;lookback_min_periods;lookback_unit","label_horizon;label_horizon_days;purge_window_days;embargo_window_days","formula_hash_reserved;feature_hash_reserved","candidate_trial_ledger_required_before_generation","Trend quality can duplicate momentum; duplicate/spam checks required before generation.","0","not_generated","not_generated","False","False","False","False","False","none","False","Potential duplicate risk noted."
"fa_inv_007","drawdown_recovery_family","not_generated","high;low;close;returns","rolling_mean;rolling_std;delta;rank;zscore;delay","future_peak;future_trough;centered_drawdown","lookback_window;lookback_min_periods;lookback_unit","label_horizon;label_horizon_days;purge_window_days;embargo_window_days","formula_hash_reserved;feature_hash_reserved","candidate_trial_ledger_required_before_generation","Avoid recreating protected strategy tuning; keep distinct from protected PAPER_REVIEW candidate parameters.","0","not_generated","not_generated","False","False","False","False","False","none","False","No protected candidate modification."
"fa_inv_008","cross_sectional_rank_family","not_generated","open;high;low;close;volume;amount;returns","rank;scale;zscore;delay;delta","full_sample_rank;rank_using_future_universe;survivorship_filtered_rank","lookback_window;lookback_min_periods;lookback_unit","label_horizon;label_horizon_days;purge_window_days;embargo_window_days","formula_hash_reserved;feature_hash_reserved","candidate_trial_ledger_required_before_generation","Requires PIT universe membership and date-grouped ranks before any feature experiment.","0","not_generated","not_generated","False","False","False","False","False","none","False","Universe leakage is primary risk."
"fa_inv_009","low_activity_reject_family","reject_or_manual_only","volume;amount;close","rolling_mean;rank;zscore","future_liquidity;broker_fill_assumption_from_future","lookback_window;lookback_min_periods;lookback_unit","label_horizon;label_horizon_days;purge_window_days;embargo_window_days","formula_hash_reserved;feature_hash_reserved","manual_review_required_before_generation","Reject as direct alpha; may later inform missingness/liquidity risk overlay only.","0","not_generated","not_generated","False","False","False","True","False","none","False","Manual-only risk overlay category."
"fa_inv_010","external_text_or_event_family","reject_or_manual_only","none_for_cp05","none_for_cp05","news_scrape;sns_scrape;llm_score;api_fetch","not_applicable","not_applicable","not_applicable","external_source_inventory_only","Rejected for formulaic alpha inventory because CP-05 is OHLCV-only and no external fetch/scoring is allowed.","0","not_generated","not_generated","False","False","False","True","False","none","False","Keep macro/news/SNS outside formula generation and disabled by default."
