overlay_id,overlay_group,overlay_component,source_reference,default_enabled,overlay_role,risk_control_only,manual_review_required,allowed_effect,blocked_effect,fetch_allowed_now,api_call_allowed_now,news_or_sns_scrape_allowed_now,llm_scoring_allowed_now,training_allowed_now,feature_merge_allowed_now,strategy_parameter_change_allowed,candidate_decision_allowed,candidate_promotion,broker_submission,order_execution,trading_allowed,production_effect,privacy_or_terms_risk,next_safe_action,notes
fixed_overlay_001,source_boundary,local_report_only_design,"data/reports/ml_v2_hybrid_overlay_design.csv;data/reports/ml_v2_external_research_source_inventory.csv",False,design_only_overlay_contract,True,True,"document future disabled-by-default gates","fetch data;call APIs;score text;merge external features;create orders",False,False,False,False,False,False,False,False,False,False,False,False,none,MEDIUM_multiple_source_terms_require_review,assemble_final_ml_v2_research_packet,"This checkpoint designs controls only and does not ingest or score external data."
fixed_overlay_002,macro_regime,macro_and_market_regime_gate,"data/reports/ml_v2_external_research_source_inventory.csv;data/reports/ml_external_feature_readiness_reaudit.csv",False,risk_context_or_exposure_cap_only,True,True,"future paper-only risk warning or exposure cap proposal after separate approval","direct buy alpha;model feature merge;automatic trade permission",False,False,False,False,False,False,False,False,False,False,False,False,none,LOW_TO_MEDIUM_release_calendar_and_vendor_terms_review_required,assemble_final_ml_v2_research_packet,"Macro/regime sources are not ready for training and require PIT release timing plus usable_from fields."
fixed_overlay_003,disclosure_event,opendart_kind_event_gate,"data/reports/ml_v2_external_research_source_inventory.csv;data/reports/ml_external_feature_readiness_reaudit.csv",False,event_risk_flag_only,True,True,"future manual-review risk flag for disclosure/correction events","positive alpha signal;candidate promotion;order blocking without human review",False,False,False,False,False,False,False,False,False,False,False,False,none,MEDIUM_terms_pit_correction_lineage_required,assemble_final_ml_v2_research_packet,"Disclosure data remains disabled until correction lineage, visible_at, collected_at, and usable_from are proven."
fixed_overlay_004,news_event,official_news_event_gate,"data/reports/ml_v2_external_research_source_inventory.csv;data/reports/ml_news_event_schema_plan.csv;data/reports/ml_external_feature_readiness_reaudit.csv",False,news_risk_flag_only,True,True,"future paper-only watchlist or manual-review flag after explicit approval","news scraping;LLM scoring;headline alpha;automatic buy/sell decision",False,False,False,False,False,False,False,False,False,False,False,False,none,MEDIUM_TO_HIGH_terms_dedup_source_visibility_required,assemble_final_ml_v2_research_packet,"News remains schema/plan-only and not ready for training or scoring."
fixed_overlay_005,sns_official,official_account_watchlist_gate,"data/reports/ml_v2_external_research_source_inventory.csv",False,manual_review_watchlist_only,True,True,"future whitelist-only manual review note after separate approval","SNS scraping;personal-data scoring;rumor ingestion;automated overlay action",False,False,False,False,False,False,False,False,False,False,False,False,none,HIGH_platform_terms_personal_data_whitelist_required,assemble_final_ml_v2_research_packet,"Official SNS is third-stage only and must remain whitelist/manual-review-only."
fixed_overlay_006,community_sns,reject_community_sources,"data/reports/ml_v2_external_research_source_inventory.csv",False,reject_or_manual_only,True,True,"document rejection unless a future explicit review overrides it","community scraping;rumor scoring;training feature;automated risk flag",False,False,False,False,False,False,False,False,False,False,False,False,none,VERY_HIGH_spam_manipulation_personal_data_risk,assemble_final_ml_v2_research_packet,"Retail forums/community posts are not approved for ML v2 training or automated overlay."
fixed_overlay_007,sentiment_model,lexicon_finbert_llm_gate,"data/reports/ml_sentiment_scoring_plan.csv;data/reports/ml_v2_external_research_source_inventory.csv;data/reports/ml_external_feature_readiness_reaudit.csv",False,later_stage_research_only,True,True,"future deterministic audited sentiment only after source readiness and explicit approval","LLM/FinBERT scoring now;prompted buy/sell signal;training feature merge",False,False,False,False,False,False,False,False,False,False,False,False,none,HIGH_model_license_privacy_prompt_audit_required,assemble_final_ml_v2_research_packet,"Sentiment remains plan-only; no scoring, model inference, or LLM work is authorized."
fixed_overlay_008,cost_concentration_failure,internal_risk_blocker_overlay,"data/reports/ml_v2_fixed_spec_cost_slippage_concentration_failure_diagnostics.csv",False,internal_blocker_context_only,True,True,"carry cost/concentration/failure blockers into final packet","generate orders;construct portfolio;claim tradability",False,False,False,False,False,False,False,False,False,False,False,False,none,MEDIUM_missing_outputs_and_narrow_sample_risk,assemble_final_ml_v2_research_packet,"Internal blockers remain: no trades/weights/fills, narrow sample, missing return-contribution artifacts."
fixed_overlay_009,governance,manual_review_and_audit_gate,"docs/GOAL_MODE_CHECKPOINT.md;data/reports/paper_operation_safety_status_index.csv",False,human_review_required_before_any_future_enablement,True,True,"require separate future approval and report-only gate before any overlay execution","silent enablement;production readiness change;protected candidate modification",False,False,False,False,False,False,False,False,False,False,False,False,none,MULTIPLE_RISKS_REQUIRE_HUMAN_REVIEW,assemble_final_ml_v2_research_packet,"Any future overlay execution must be a separate paper-only gated checkpoint."
fixed_overlay_010,summary,hybrid_risk_overlay_design_status,all_local_reports,False,disabled_by_default_risk_overlay_design,True,True,"paper-only final packet input","live-ready model;candidate selection;broker submission;order execution",False,False,False,False,False,False,False,False,False,False,False,False,none,MULTIPLE_RISKS_REQUIRE_REVIEW,assemble_final_ml_v2_research_packet,"All overlays are disabled by default, risk-control-only, and cannot authorize trading."
