analysis_id,analysis_group,analysis_item,source_reference,evidence,analysis_status,allowed_interpretation,blocked_interpretation,winner_declared,model_selection_allowed,formula_selection_allowed,hyperparameter_tuning_allowed,candidate_decision_allowed,candidate_promotion,broker_submission,order_execution,trading_allowed,production_effect,model_training_performed_now,validation_rerun_performed_now,oos_rerun_performed_now,candidate_comparison_rerun_performed_now,next_safe_action,notes
robust_no_winner_001,source_boundary,post29_diagnostic_available,data/reports/ml_v2_fixed_spec_bounded_robustness_diagnostic.csv,"rows=11;status_counts=PASS 9,WARN 2;robustness_diagnostic_performed_now=True",PASS,"POST-29 exists as bounded paper-only robustness evidence","Treat POST-29 as production readiness or candidate-selection evidence",False,False,False,False,False,False,False,False,False,none,False,False,False,False,proceed_to_cost_concentration_failure_diagnostics,"This analysis does not run another robustness diagnostic."
robust_no_winner_002,coverage,joined_sample_coverage,data/reports/ml_v2_fixed_spec_bounded_robustness_diagnostic.csv,"joined_rows=98;symbols=5;date_groups=23;train_rows=74;validation_rows=20;embargo_groups=1",PASS_WITH_LIMITATION,"Coverage is sufficient to describe the bounded diagnostic sample","Claim broad market robustness or live readiness from five symbols and twenty validation rows",False,False,False,False,False,False,False,False,False,none,False,False,False,False,proceed_to_cost_concentration_failure_diagnostics,"Sample coverage remains narrow and should feed risk diagnostics, not selection."
robust_no_winner_003,feature_lock,six_formula_hash_lock,data/reports/ml_v2_fixed_spec_bounded_robustness_diagnostic.csv,"formula_hash_count=6;missing_feature_values=0;no_formula_ranking",PASS,"Fixed six-feature lock was preserved during diagnostics","Drop, rank, add, mutate, or promote formulas from robustness output",False,False,False,False,False,False,False,False,False,none,False,False,False,False,proceed_to_cost_concentration_failure_diagnostics,"Feature lock reduces selection risk but does not prove robustness."
robust_no_winner_004,split_manifest,chronological_holdout_fixed_v1,data/reports/ml_v2_fixed_spec_bounded_robustness_diagnostic.csv,"train_date_groups=17;validation_date_groups=5;embargo_date_groups=2025-12-30;validation_rows=20",PASS_WITH_LIMITATION,"Chronological split can be described as the fixed primary diagnostic split","Treat the chronological split as enough for OOS approval or model winner selection",False,False,False,False,False,False,False,False,False,none,False,False,False,False,proceed_to_cost_concentration_failure_diagnostics,"The split remains pre-cutoff and paper-only."
robust_no_winner_005,split_manifest,rolling_origin_fixed_v1,data/reports/ml_v2_fixed_spec_bounded_robustness_diagnostic.csv,"rows=12;positive=4;negative=8;min_class_count=4;min_class_share=0.3333;diagnostic_status=WARN",WARN,"Rolling-origin label balance is a small-sample warning","Tune class weights, thresholds, or choose another split because this warning exists",False,False,False,False,False,False,False,False,False,none,False,False,False,False,proceed_to_cost_concentration_failure_diagnostics,"The warning blocks favorable interpretation and does not authorize remediation tuning."
robust_no_winner_006,split_manifest,blocked_time_fold_fixed_v1,data/reports/ml_v2_fixed_spec_bounded_robustness_diagnostic.csv,"rows=34;positive=16;negative=18;min_class_count=16;min_class_share=0.4706;diagnostic_status=PASS",PASS,"Blocked-time label coverage is better balanced in this diagnostic slice","Select blocked-time fold as the best split or evidence of model superiority",False,False,False,False,False,False,False,False,False,none,False,False,False,False,proceed_to_cost_concentration_failure_diagnostics,"All split rows are reported together; no split winner is declared."
robust_no_winner_007,label_balance,primary_validation_label_warning,data/reports/ml_v2_fixed_spec_bounded_robustness_diagnostic.csv,"validation=positive=8;negative=12;min_class_count=8;min_class_share=0.4000;diagnostic_status=WARN",WARN,"Primary validation has a pre-registered small-class-count warning","Infer robustness, tune threshold, tune class weights, or promote despite small class count",False,False,False,False,False,False,False,False,False,none,False,False,False,False,proceed_to_cost_concentration_failure_diagnostics,"Positive validation count below 10 remains a material interpretation limiter."
robust_no_winner_008,pit_embargo,joined_row_pit_cutoff_reaudit,data/reports/ml_v2_fixed_spec_bounded_robustness_diagnostic.csv,"pit_failures=0;post_cutoff_label_failures=0;bad_feature_safety_flags=0;cutoff=2026-06-18",PASS,"Local PIT/cutoff checks did not find joined-row violations","Treat this as an OOS rerun, live validation, or broker readiness check",False,False,False,False,False,False,False,False,False,none,False,False,False,False,proceed_to_cost_concentration_failure_diagnostics,"PIT pass supports paper-only packet integrity, not production authorization."
robust_no_winner_009,overfit_context,existing_overfit_warning,data/reports/ml_v2_fixed_spec_overfit_analysis.csv,"train_accuracy=0.6486;validation_accuracy=0.5500;gap=0.0986;validation_sample_risk=HIGH_SMALL_N;overall=WARN_OVERFIT_RISK_NOT_PROVEN",WARN,"Overfit warning remains unresolved and should be carried into final packet risk notes","Declare ML v2 superior, robust, or production-ready from fixed-spec diagnostics",False,False,False,False,False,False,False,False,False,none,False,False,False,False,proceed_to_cost_concentration_failure_diagnostics,"POST-29 does not remove the small-sample or repeated-process warning."
robust_no_winner_010,comparison_context,non_comparable_models,data/reports/ml_v2_fixed_spec_vs_existing_ml_diagnostic_comparison.csv,"comparison_validity=DIAGNOSTIC_ONLY_NOT_HEAD_TO_HEAD;summary=NO_MODEL_WINNER_DECLARED",PASS,"ML v2 can be discussed as a non-comparable diagnostic research path","Rank ML baseline, ML v1, and ML v2 or use these rows for candidate decisions",False,False,False,False,False,False,False,False,False,none,False,False,False,False,proceed_to_cost_concentration_failure_diagnostics,"Samples, feature scopes, and validation methods differ."
robust_no_winner_011,final_interpretation,no_winner_no_candidate_decision,all_local_reports,"overall=paper_only_robustness_evidence_with_warnings;winner_declared=False;candidate_decision_allowed=False",PASS_WITH_LIMITATION,"Carry POST-29 into the final research packet as bounded paper-only evidence with warnings","Select a winner, change strategy parameters, promote candidate, or alter production readiness",False,False,False,False,False,False,False,False,False,none,False,False,False,False,proceed_to_cost_concentration_failure_diagnostics,"Next safe checkpoint is cost/slippage/concentration/failure diagnostics."
